Libellé;idBank;Dernière mise à jour;Période;1970-T4;1971-T1;1971-T2;1971-T3;1971-T4;1972-T1;1972-T2;1972-T3;1972-T4;1973-T1;1973-T2;1973-T3;1973-T4;1974-T1;1974-T2;1974-T3;1974-T4;1975-T1;1975-T2;1975-T3;1975-T4;1976-T1;1976-T2;1976-T3;1976-T4;1977-T1;1977-T2;1977-T3;1977-T4;1978-T1;1978-T2;1978-T3;1978-T4;1979-T1;1979-T2;1979-T3;1979-T4;1980-T1;1980-T2;1980-T3;1980-T4;1981-T1;1981-T2;1981-T3;1981-T4;1982-T1;1982-T2;1982-T3;1982-T4;1983-T1;1983-T2;1983-T3;1983-T4;1984-T1;1984-T2;1984-T3;1984-T4;1985-T1;1985-T2;1985-T3;1985-T4;1986-T1;1986-T2;1986-T3;1986-T4;1987-T1;1987-T2;1987-T3;1987-T4;1988-T1;1988-T2;1988-T3;1988-T4;1989-T1;1989-T2;1989-T3;1989-T4;1990-T1;1990-T2;1990-T3;1990-T4;1991-T1;1991-T2;1991-T3;1991-T4;1992-T1;1992-T2;1992-T3;1992-T4;1993-T1;1993-T2;1993-T3;1993-T4;1994-T1;1994-T2;1994-T3;1994-T4;1995-T1;1995-T2;1995-T3;1995-T4;1996-T1;1996-T2;1996-T3;1996-T4;1997-T1;1997-T2;1997-T3;1997-T4;1998-T1;1998-T2;1998-T3;1998-T4;1999-T1;1999-T2;1999-T3;1999-T4;2000-T1;2000-T2;2000-T3;2000-T4;2001-T1;2001-T2;2001-T3;2001-T4;2002-T1;2002-T2;2002-T3;2002-T4;2003-T1;2003-T2;2003-T3;2003-T4;2004-T1;2004-T2;2004-T3;2004-T4;2005-T1;2005-T2;2005-T3;2005-T4;2006-T1;2006-T2;2006-T3;2006-T4;2007-T1;2007-T2;2007-T3;2007-T4;2008-T1;2008-T2;2008-T3;2008-T4;2009-T1;2009-T2;2009-T3;2009-T4;2010-T1;2010-T2;2010-T3;2010-T4;2011-T1;2011-T2;2011-T3;2011-T4;2012-T1;2012-T2;2012-T3;2012-T4;2013-T1;2013-T2;2013-T3;2013-T4;2014-T1;2014-T2;2014-T3;2014-T4;2015-T1;2015-T2;2015-T3;2015-T4;2016-T1;2016-T2;2016-T3;2016-T4;2017-T1;2017-T2;2017-T3;2017-T4;2018-T1;2018-T2;2018-T3;2018-T4;2019-T1;2019-T2;2019-T3;2019-T4;2020-T1;2020-T2;2020-T3;2020-T4;2021-T1;2021-T2;2021-T3;2021-T4
Emplois salariés trimestriels - Secteurs principalement marchands - Toutes sections hors A, O, P, Q et U - CVS - Série arrêtée;001577239;12/05/2017 00:00;;12409,6 (A);12418,8 (A);12485,6 (A);12576,1 (A);12628,8 (A);12689,0 (A);12735,9 (A);12815,4 (A);12922,1 (A);13009,7 (A);13079,2 (A);13173,2 (A);13257,5 (A);13338,4 (A);13371,7 (A);13356,8 (A);13279,7 (A);13229,6 (A);13188,5 (A);13165,1 (A);13201,2 (A);13265,1 (A);13344,5 (A);13413,7 (A);13453,5 (A);13489,2 (A);13499,8 (A);13548,6 (A);13601,0 (A);13590,9 (A);13602,0 (A);13580,2 (A);13594,6 (A);13597,8 (A);13629,2 (A);13661,1 (A);13663,9 (A);13690,7 (A);13664,0 (A);13645,9 (A);13624,6 (A);13612,5 (A);13518,6 (A);13451,5 (A);13510,2 (A);13517,0 (A);13580,7 (A);13587,1 (A);13572,2 (A);13539,9 (A);13507,8 (A);13484,5 (A);13435,9 (A);13370,4 (A);13297,6 (A);13258,8 (A);13206,8 (A);13186,1 (A);13176,7 (A);13175,5 (A);13198,1 (A);13207,8 (A);13231,1 (A);13233,5 (A);13209,7 (A);13214,5 (A);13260,3 (A);13276,6 (A);13305,1 (A);13372,4 (A);13431,3 (A);13507,6 (A);13599,7 (A);13705,6 (A);13788,1 (A);13853,0 (A);13964,7 (A);14014,7 (A);14071,6 (A);14080,8 (A);14110,0 (A);14110,8 (A);14047,5 (A);14031,4 (A);14022,6 (A);13999,9 (A);13950,7 (A);13893,4 (A);13783,0 (A);13698,7 (A);13611,9 (A);13564,8 (A);13559,2 (A);13586,6 (A);13643,9 (A);13726,5 (A);13748,8 (A);13800,0 (A);13841,0 (A);13882,0 (A);13889,9 (A);13895,3 (A);13899,0 (A);13906,1 (A);13934,4 (A);13991,4 (A);14029,6 (A);14092,3 (A);14191,7 (A);14287,5 (A);14456,5 (A);14532,3 (A);14549,1 (A);14674,2 (A);14765,4 (A);14884,4 (A);15012,5 (A);15160,6 (A);15323,4 (A);15481,7 (A);15596,6 (A);15730,7 (A);15780,7 (A);15830,7 (A);15849,3 (A);15896,0 (A);15886,9 (A);15892,7 (A);15885,3 (A);15858,3 (A);15831,9 (A);15794,5 (A);15812,6 (A);15797,7 (A);15815,3 (A);15812,0 (A);15836,7 (A);15862,3 (A);15877,7 (A);15900,0 (A);15929,7 (A);15953,2 (A);16042,8 (A);16103,9 (A);16124,0 (A);16254,2 (A);16296,3 (A);16351,6 (A);16386,8 (A);16437,3 (A);16369,3 (A);16327,3 (A);16201,9 (A);16043,1 (A);15971,6 (A);15936,8 (A);15948,4 (A);15932,5 (A);15937,3 (A);15974,8 (A);16004,5 (A);16044,9 (A);16081,8 (A);16070,0 (A);16060,9 (A);16063,1 (A);16036,9 (A);16000,7 (A);15954,0 (A);15928,7 (A);15880,3 (A);15910,5 (A);15929,5 (A);15909,2 (A);15914,5 (A);15870,0 (A);15886,4 (A);15877,2 (SD);15910,5 (SD);15933,5 (SD);15985,5 (SD);16029,4 (SD);16060,5 (SD);16110,9 (SD);16178,2 (SD);16227,7 (SD);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O)
Emplois salariés trimestriels - Industrie - Sections B, C, D et E - CVS;001577235;09/03/2022 07:30;;5447,9 (A);5466,3 (A);5494,7 (A);5529,1 (A);5534,1 (A);5543,1 (A);5563,8 (A);5589,5 (A);5627,5 (A);5669,5 (A);5692,1 (A);5721,4 (A);5758,9 (A);5766,9 (A);5774,0 (A);5770,7 (A);5720,7 (A);5666,7 (A);5615,0 (A);5570,7 (A);5561,3 (A);5576,3 (A);5594,2 (A);5603,4 (A);5602,5 (A);5591,8 (A);5572,5 (A);5560,8 (A);5555,8 (A);5527,0 (A);5501,7 (A);5472,0 (A);5453,9 (A);5436,5 (A);5424,6 (A);5424,7 (A);5413,6 (A);5411,8 (A);5393,7 (A);5356,2 (A);5311,0 (A);5267,8 (A);5209,5 (A);5167,3 (A);5160,1 (A);5156,2 (A);5171,1 (A);5154,5 (A);5133,6 (A);5097,1 (A);5065,5 (A);5042,6 (A);5009,3 (A);4970,7 (A);4929,8 (A);4899,1 (A);4865,0 (A);4827,3 (A);4794,7 (A);4767,1 (A);4751,4 (A);4731,3 (A);4712,9 (A);4685,0 (A);4652,0 (A);4624,4 (A);4604,3 (A);4576,7 (A);4549,2 (A);4540,9 (A);4538,9 (A);4540,3 (A);4538,5 (A);4552,1 (A);4573,8 (A);4589,7 (A);4594,5 (A);4608,1 (A);4615,2 (A);4602,0 (A);4590,5 (A);4565,4 (A);4535,0 (A);4503,8 (A);4473,4 (A);4439,5 (A);4398,9 (A);4358,3 (A);4302,1 (A);4250,0 (A);4190,3 (A);4148,4 (A);4116,1 (A);4091,3 (A);4089,2 (A);4086,4 (A);4087,9 (A);4099,4 (A);4105,5 (A);4103,0 (A);4093,7 (A);4077,4 (A);4057,3 (A);4044,6 (A);4031,6 (A);4026,5 (A);4027,2 (A);4023,0 (A);4024,9 (A);4026,0 (A);4042,7 (A);4040,4 (A);4034,7 (A);4023,1 (A);4019,7 (A);4007,7 (A);4028,6 (A);4036,3 (A);4060,2 (A);4087,4 (A);4110,2 (A);4124,9 (A);4122,2 (A);4116,0 (A);4101,1 (A);4079,8 (A);4056,1 (A);4041,4 (A);4017,6 (A);3995,9 (A);3973,5 (A);3947,9 (A);3920,3 (A);3895,3 (A);3869,7 (A);3846,0 (A);3828,7 (A);3801,2 (A);3780,9 (A);3758,8 (A);3740,6 (A);3726,5 (A);3715,0 (A);3701,1 (A);3682,2 (A);3674,2 (A);3665,0 (A);3649,6 (A);3638,7 (A);3624,1 (A);3603,9 (A);3591,2 (A);3562,7 (A);3515,6 (A);3468,7 (A);3427,1 (A);3395,5 (A);3361,5 (A);3341,7 (A);3322,6 (A);3311,1 (A);3310,2 (A);3306,2 (A);3300,7 (A);3294,2 (A);3289,0 (A);3284,4 (A);3281,8 (A);3274,1 (A);3265,4 (A);3249,4 (A);3241,3 (A);3236,2 (A);3231,5 (A);3221,8 (A);3210,8 (A);3202,4 (A);3193,2 (A);3184,8 (A);3175,1 (A);3167,5 (A);3160,3 (A);3150,7 (A);3147,4 (A);3139,8 (A);3134,0 (A);3135,2 (A);3138,3 (A);3144,2 (A);3143,8 (A);3146,7 (A);3148,7 (A);3155,3 (A);3161,5 (SD);3165,3 (SD);3166,0 (SD);3165,2 (SD);3153,7 (SD);3130,0 (SD);3122,5 (SD);3110,2 (SD);3117,4 (SD);3120,8 (SD);3126,3 (SD);3131,3 (SD)
Emplois salariés trimestriels - Construction - Section F - CVS;001577236;09/03/2022 07:30;;1760,3 (A);1759,6 (A);1764,1 (A);1767,8 (A);1761,1 (A);1757,3 (A);1757,3 (A);1758,1 (A);1769,0 (A);1773,5 (A);1773,9 (A);1782,5 (A);1772,7 (A);1786,6 (A);1777,7 (A);1750,0 (A);1719,4 (A);1696,8 (A);1680,8 (A);1674,7 (A);1668,2 (A);1671,4 (A);1673,2 (A);1673,1 (A);1670,8 (A);1670,4 (A);1658,4 (A);1655,6 (A);1650,4 (A);1629,9 (A);1616,9 (A);1605,2 (A);1600,7 (A);1593,1 (A);1591,5 (A);1593,8 (A);1592,4 (A);1592,0 (A);1587,9 (A);1586,2 (A);1572,0 (A);1571,4 (A);1554,2 (A);1538,2 (A);1531,8 (A);1517,2 (A);1509,0 (A);1494,5 (A);1478,0 (A);1457,6 (A);1432,4 (A);1409,2 (A);1386,1 (A);1358,9 (A);1331,9 (A);1311,6 (A);1301,4 (A);1293,1 (A);1288,0 (A);1286,2 (A);1281,9 (A);1283,5 (A);1291,6 (A);1297,8 (A);1296,8 (A);1297,6 (A);1307,6 (A);1315,5 (A);1316,1 (A);1321,9 (A);1334,4 (A);1345,8 (A);1357,4 (A);1367,0 (A);1378,5 (A);1388,2 (A);1404,5 (A);1410,3 (A);1413,2 (A);1409,6 (A);1413,2 (A);1409,8 (A);1404,8 (A);1395,8 (A);1387,3 (A);1378,3 (A);1360,9 (A);1344,9 (A);1322,6 (A);1300,5 (A);1282,7 (A);1265,0 (A);1255,5 (A);1250,9 (A);1249,4 (A);1254,2 (A);1257,6 (A);1257,6 (A);1256,0 (A);1252,0 (A);1242,0 (A);1229,4 (A);1218,2 (A);1206,3 (A);1193,7 (A);1191,2 (A);1185,8 (A);1182,9 (A);1180,4 (A);1184,6 (A);1183,8 (A);1184,8 (A);1188,9 (A);1191,2 (A);1205,0 (A);1216,2 (A);1228,4 (A);1238,9 (A);1255,0 (A);1269,0 (A);1281,0 (A);1290,0 (A);1295,8 (A);1302,2 (A);1309,8 (A);1309,4 (A);1307,8 (A);1311,4 (A);1310,4 (A);1311,3 (A);1311,4 (A);1314,9 (A);1322,6 (A);1331,3 (A);1339,8 (A);1342,7 (A);1350,3 (A);1359,3 (A);1372,4 (A);1384,3 (A);1401,0 (A);1418,6 (A);1435,0 (A);1450,1 (A);1467,2 (A);1483,5 (A);1495,9 (A);1514,2 (A);1530,4 (A);1535,3 (A);1541,0 (A);1546,9 (A);1539,3 (A);1526,1 (A);1515,7 (A);1503,6 (A);1495,7 (A);1488,5 (A);1484,1 (A);1480,5 (A);1476,5 (A);1476,5 (A);1473,4 (A);1469,1 (A);1468,2 (A);1469,9 (A);1463,4 (A);1458,3 (A);1451,5 (A);1440,2 (A);1435,0 (A);1430,2 (A);1423,7 (A);1417,5 (A);1406,3 (A);1392,3 (A);1376,3 (A);1364,1 (A);1353,2 (A);1343,0 (A);1341,0 (A);1337,3 (A);1335,8 (A);1334,7 (A);1332,3 (A);1336,9 (A);1342,2 (A);1342,1 (A);1351,9 (A);1364,0 (A);1372,4 (A);1377,6 (A);1385,5 (A);1409,2 (SD);1418,2 (SD);1423,5 (SD);1431,7 (SD);1434,0 (SD);1438,1 (SD);1454,2 (SD);1462,5 (SD);1493,5 (SD);1494,5 (SD);1493,0 (SD);1499,3 (SD)
Emplois salariés trimestriels - Tertiaire marchand - Sections G, H, I, J, K, L, M, N, R, S, T - CVS;001577237;09/03/2022 07:30;;5349,1 (A);5340,5 (A);5375,2 (A);5428,6 (A);5483,5 (A);5539,3 (A);5566,0 (A);5619,8 (A);5678,9 (A);5720,8 (A);5768,1 (A);5825,3 (A);5882,6 (A);5942,9 (A);5978,2 (A);5994,0 (A);5996,5 (A);6022,8 (A);6049,2 (A);6076,3 (A);6129,0 (A);6175,5 (A);6236,1 (A);6297,2 (A);6340,7 (A);6388,3 (A);6430,4 (A);6494,6 (A);6558,2 (A);6597,5 (A);6647,1 (A);6666,7 (A);6704,1 (A);6732,4 (A);6778,0 (A);6808,0 (A);6823,4 (A);6852,9 (A);6848,1 (A);6869,4 (A);6907,6 (A);6939,7 (A);6920,4 (A);6910,8 (A);6984,1 (A);7009,5 (A);7067,3 (A);7105,1 (A);7127,5 (A);7151,9 (A);7176,2 (A);7198,9 (A);7206,2 (A);7205,6 (A);7200,0 (A);7211,7 (A);7203,5 (A);7228,7 (A);7257,2 (A);7285,7 (A);7328,7 (A);7357,3 (A);7391,5 (A);7416,0 (A);7426,3 (A);7458,2 (A);7515,1 (A);7551,6 (A);7607,7 (A);7678,7 (A);7727,9 (A);7792,7 (A);7876,3 (A);7960,6 (A);8011,0 (A);8051,0 (A);8164,1 (A);8190,4 (A);8248,3 (A);8268,7 (A);8303,7 (A);8323,1 (A);8306,5 (A);8327,1 (A);8355,1 (A);8371,9 (A);8396,2 (A);8389,7 (A);8350,1 (A);8335,1 (A);8322,7 (A);8363,1 (A);8388,0 (A);8442,2 (A);8497,7 (A);8583,3 (A);8610,0 (A);8648,7 (A);8682,7 (A);8730,2 (A);8766,1 (A);8802,6 (A);8837,4 (A);8868,3 (A);8928,4 (A);8996,6 (A);9033,3 (A);9098,9 (A);9203,6 (A);9287,4 (A);9425,8 (A);9478,4 (A);9537,0 (A);9654,0 (A);9753,7 (A);9882,0 (A);9989,7 (A);10104,6 (A);10236,8 (A);10353,5 (A);10454,5 (A);10556,8 (A);10600,7 (A);10652,2 (A);10688,1 (A);10749,7 (A);10766,2 (A);10785,8 (A);10806,0 (A);10798,6 (A);10792,1 (A);10785,4 (A);10820,1 (A);10817,5 (A);10848,1 (A);10867,9 (A);10914,8 (A);10951,5 (A);10977,0 (A);11008,0 (A);11054,5 (A);11061,4 (A);11144,3 (A);11204,0 (A);11258,8 (A);11372,9 (A);11409,8 (A);11471,8 (A);11502,4 (A);11581,2 (A);11531,4 (A);11493,8 (A);11393,5 (A);11299,2 (A);11278,1 (A);11293,1 (A);11337,0 (A);11370,0 (A);11401,2 (A);11457,3 (A);11501,5 (A);11547,4 (A);11578,6 (A);11572,8 (A);11585,7 (A);11577,8 (A);11572,7 (A);11541,5 (A);11512,8 (A);11527,2 (A);11497,5 (A);11535,2 (A);11552,6 (A);11549,7 (A);11573,7 (A);11564,3 (A);11593,5 (A);11602,2 (A);11652,7 (A);11705,1 (A);11748,6 (A);11794,5 (A);11848,0 (A);11904,9 (A);11946,9 (A);12019,3 (A);12096,0 (A);12170,9 (A);12257,7 (A);12287,1 (A);12319,3 (A);12351,8 (A);12386,1 (A);12461,7 (SD);12498,0 (SD);12525,8 (SD);12581,9 (SD);12130,9 (SD);12025,3 (SD);12302,5 (SD);12231,7 (SD);12329,9 (SD);12606,7 (SD);12715,9 (SD);12815,1 (SD)
Emplois salariés trimestriels - Industries extractives, énergie, eau, gestion des déchets et dépollution - A17 : DE - CVS;001577241;09/03/2022 07:30;;293,2 (A);293,5 (A);293,9 (A);294,2 (A);294,3 (A);294,6 (A);294,5 (A);295,0 (A);295,4 (A);295,7 (A);296,2 (A);296,8 (A);297,0 (A);297,9 (A);298,9 (A);299,5 (A);299,8 (A);299,9 (A);300,1 (A);300,3 (A);301,4 (A);302,3 (A);303,1 (A);304,0 (A);304,8 (A);305,9 (A);306,0 (A);307,0 (A);307,7 (A);308,4 (A);309,0 (A);309,3 (A);310,1 (A);310,7 (A);311,8 (A);312,7 (A);313,2 (A);314,3 (A);315,1 (A);316,0 (A);316,7 (A);317,6 (A);317,9 (A);318,8 (A);320,4 (A);322,6 (A);325,7 (A);328,4 (A);330,6 (A);331,9 (A);332,6 (A);333,4 (A);334,0 (A);333,8 (A);333,7 (A);333,2 (A);332,7 (A);332,6 (A);332,5 (A);332,5 (A);332,6 (A);331,5 (A);332,0 (A);330,9 (A);330,6 (A);330,7 (A);330,7 (A);330,6 (A);330,3 (A);330,3 (A);330,2 (A);330,4 (A);330,9 (A);331,7 (A);331,7 (A);332,1 (A);332,3 (A);332,0 (A);332,0 (A);330,6 (A);330,0 (A);329,6 (A);329,2 (A);328,7 (A);329,8 (A);329,8 (A);328,2 (A);328,0 (A);326,6 (A);325,3 (A);324,9 (A);325,5 (A);325,3 (A);327,5 (A);329,6 (A);331,7 (A);333,4 (A);334,6 (A);335,4 (A);335,6 (A);335,6 (A);336,8 (A);335,9 (A);336,8 (A);337,7 (A);339,2 (A);340,8 (A);341,4 (A);342,5 (A);341,4 (A);343,2 (A);343,5 (A);342,6 (A);342,8 (A);343,5 (A);344,4 (A);348,9 (A);352,1 (A);355,1 (A);358,2 (A);360,4 (A);363,1 (A);364,5 (A);365,4 (A);365,6 (A);365,3 (A);365,9 (A);366,5 (A);366,2 (A);363,6 (A);364,0 (A);363,4 (A);363,6 (A);364,0 (A);364,4 (A);365,3 (A);366,4 (A);366,2 (A);365,7 (A);365,2 (A);364,4 (A);364,9 (A);365,0 (A);365,2 (A);365,2 (A);367,6 (A);367,5 (A);367,2 (A);367,1 (A);367,7 (A);368,1 (A);367,4 (A);367,4 (A);366,9 (A);367,1 (A);369,3 (A);370,6 (A);368,9 (A);370,3 (A);369,5 (A);369,7 (A);369,9 (A);369,7 (A);369,2 (A);370,5 (A);372,0 (A);373,9 (A);375,1 (A);376,0 (A);376,6 (A);377,0 (A);376,6 (A);376,5 (A);376,9 (A);376,6 (A);376,4 (A);378,2 (A);377,3 (A);377,2 (A);377,4 (A);377,3 (A);377,1 (A);376,7 (A);376,3 (A);374,5 (A);371,8 (A);373,1 (A);373,9 (A);374,0 (A);373,8 (A);374,2 (A);375,3 (A);376,4 (A);376,7 (SD);377,1 (SD);376,8 (SD);377,3 (SD);377,4 (SD);376,1 (SD);376,9 (SD);376,9 (SD);378,9 (SD);380,1 (SD);380,5 (SD);381,0 (SD)
Emplois salariés trimestriels - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac - A17 : C1 - CVS;001577242;09/03/2022 07:30;;507,1 (A);508,2 (A);514,3 (A);523,0 (A);514,5 (A);510,8 (A);510,7 (A);519,7 (A);520,1 (A);523,1 (A);520,8 (A);522,0 (A);526,4 (A);526,7 (A);525,9 (A);523,4 (A);525,7 (A);527,3 (A);526,1 (A);524,0 (A);528,0 (A);528,4 (A);528,8 (A);529,4 (A);532,8 (A);536,6 (A);539,7 (A);542,1 (A);547,4 (A);549,0 (A);549,1 (A);550,1 (A);551,6 (A);554,2 (A);556,4 (A);557,8 (A);559,0 (A);560,3 (A);562,0 (A);560,6 (A);561,8 (A);564,6 (A);563,9 (A);561,6 (A);566,1 (A);564,7 (A);569,3 (A);572,9 (A);571,9 (A);571,7 (A);573,1 (A);576,0 (A);576,2 (A);576,4 (A);576,3 (A);576,6 (A);575,0 (A);573,0 (A);570,9 (A);571,4 (A);572,1 (A);572,1 (A);572,7 (A);571,2 (A);573,1 (A);572,7 (A);573,6 (A);573,3 (A);571,5 (A);571,6 (A);571,9 (A);573,3 (A);572,6 (A);572,5 (A);574,3 (A);577,4 (A);574,5 (A);575,7 (A);576,1 (A);575,3 (A);574,4 (A);573,7 (A);573,1 (A);572,0 (A);570,9 (A);568,9 (A);566,3 (A);564,2 (A);562,1 (A);561,2 (A);561,0 (A);560,7 (A);561,1 (A);561,1 (A);561,0 (A);560,9 (A);560,2 (A);560,4 (A);560,6 (A);561,0 (A);560,6 (A);561,5 (A);561,5 (A);561,3 (A);563,0 (A);566,7 (A);570,7 (A);572,6 (A);573,0 (A);567,0 (A);575,8 (A);579,0 (A);580,9 (A);580,2 (A);582,8 (A);573,9 (A);584,1 (A);584,2 (A);588,4 (A);590,3 (A);592,3 (A);592,4 (A);593,5 (A);596,1 (A);597,6 (A);597,9 (A);596,5 (A);597,1 (A);598,7 (A);600,2 (A);602,3 (A);603,4 (A);600,6 (A);600,7 (A);597,0 (A);592,9 (A);591,9 (A);590,1 (A);588,6 (A);587,7 (A);585,8 (A);584,1 (A);584,2 (A);584,6 (A);579,4 (A);579,7 (A);577,2 (A);576,4 (A);575,3 (A);574,5 (A);571,3 (A);569,5 (A);567,4 (A);565,7 (A);566,0 (A);564,8 (A);564,6 (A);563,8 (A);563,4 (A);562,7 (A);563,9 (A);563,6 (A);563,9 (A);563,6 (A);563,5 (A);563,8 (A);563,7 (A);563,6 (A);561,7 (A);561,6 (A);558,4 (A);560,6 (A);561,2 (A);561,1 (A);561,4 (A);561,7 (A);562,5 (A);562,9 (A);563,5 (A);565,0 (A);567,4 (A);570,0 (A);571,2 (A);571,8 (A);572,7 (A);574,1 (A);575,5 (A);577,6 (A);579,2 (A);580,0 (A);580,9 (A);580,1 (A);581,5 (A);584,9 (SD);586,3 (SD);587,6 (SD);590,4 (SD);589,3 (SD);582,9 (SD);589,0 (SD);589,2 (SD);597,7 (SD);603,1 (SD);608,6 (SD);612,1 (SD)
Emplois salariés trimestriels - Cokéfaction et raffinage - A17 : C2 - CVS;001577243;09/03/2022 07:30;;36,5 (A);36,0 (A);35,7 (A);35,2 (A);34,8 (A);34,4 (A);33,9 (A);33,6 (A);33,2 (A);32,7 (A);32,4 (A);32,1 (A);31,6 (A);31,4 (A);31,3 (A);31,1 (A);30,9 (A);30,7 (A);30,6 (A);30,4 (A);30,4 (A);30,2 (A);30,0 (A);29,8 (A);29,7 (A);29,6 (A);29,3 (A);29,2 (A);29,1 (A);29,0 (A);28,8 (A);28,6 (A);28,5 (A);28,4 (A);28,3 (A);28,2 (A);28,0 (A);27,9 (A);27,9 (A);27,8 (A);27,8 (A);27,8 (A);27,7 (A);27,7 (A);27,8 (A);28,0 (A);28,5 (A);28,9 (A);29,2 (A);29,3 (A);29,2 (A);29,2 (A);29,0 (A);28,7 (A);28,5 (A);28,0 (A);27,6 (A);27,3 (A);27,0 (A);26,7 (A);26,4 (A);25,9 (A);25,7 (A);25,1 (A);24,8 (A);24,5 (A);24,2 (A);23,9 (A);23,6 (A);23,2 (A);22,9 (A);22,6 (A);22,3 (A);22,0 (A);21,7 (A);21,5 (A);21,1 (A);20,9 (A);20,7 (A);20,4 (A);20,1 (A);19,8 (A);19,4 (A);19,1 (A);19,3 (A);19,2 (A);19,0 (A);18,7 (A);18,5 (A);18,2 (A);18,2 (A);18,2 (A);18,2 (A);18,1 (A);17,8 (A);17,5 (A);17,3 (A);17,1 (A);17,1 (A);17,1 (A);17,1 (A);17,0 (A);16,6 (A);16,3 (A);16,0 (A);15,6 (A);15,2 (A);14,8 (A);14,2 (A);13,7 (A);13,2 (A);12,3 (A);11,9 (A);12,0 (A);12,1 (A);12,1 (A);12,4 (A);12,6 (A);13,0 (A);13,1 (A);13,2 (A);13,0 (A);12,9 (A);12,8 (A);12,7 (A);12,9 (A);12,9 (A);13,2 (A);13,3 (A);13,4 (A);13,6 (A);13,7 (A);13,8 (A);13,8 (A);14,0 (A);14,1 (A);14,1 (A);14,0 (A);13,7 (A);13,5 (A);13,3 (A);13,2 (A);13,1 (A);13,1 (A);13,0 (A);13,0 (A);13,0 (A);12,9 (A);12,9 (A);12,9 (A);12,9 (A);12,7 (A);12,7 (A);12,3 (A);12,1 (A);11,8 (A);11,7 (A);11,5 (A);11,5 (A);11,5 (A);11,3 (A);11,3 (A);11,0 (A);10,8 (A);10,8 (A);10,7 (A);10,6 (A);10,6 (A);10,4 (A);10,5 (A);10,1 (A);10,0 (A);9,9 (A);9,9 (A);9,9 (A);9,8 (A);9,7 (A);9,7 (A);9,6 (A);9,6 (A);9,5 (A);9,5 (A);9,5 (A);9,4 (A);9,4 (A);9,3 (A);9,3 (A);9,2 (A);9,2 (A);9,2 (A);9,2 (A);9,1 (A);9,1 (A);9,1 (SD);9,1 (SD);9,1 (SD);9,1 (SD);9,0 (SD);9,0 (SD);8,9 (SD);8,9 (SD);8,8 (SD);8,8 (SD);8,7 (SD);8,6 (SD)
